0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/latest-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/video-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/latest-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/latest-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/popular-post-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/icons/logo-02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/popular-post-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:16 +0700] "GET /new-jdbc-5-month-2024/template/web/images/popular-post-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/dang-nhap?action=login HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/animsition/js/animsition.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/bootstrap/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/daterangepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/js/main.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/vendor/countdowntime/countdowntime.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:19:51:54 +0700] "GET /new-jdbc-5-month-2024/template/login/images/bg-03.jpg HTTP/1.1" 304 -
